cpu_usage,memory_usage,disk_usage,hour,minute,is_weekend,cpu_roll_mean_5,cpu_roll_std_5,cpu_roll_30min
4.9,28.3,39.5,15,50,False,,,4.9
3.0,28.5,39.5,15,51,False,,,3.95
5.8,28.4,39.5,15,52,False,,,4.566666666666666
30.7,30.3,39.5,15,53,False,,,11.1
5.8,27.7,39.5,15,54,False,10.04,11.605731342746136,10.04
36.3,28.5,39.5,15,55,False,16.32,15.848880086618108,14.416666666666666
5.4,27.4,39.5,15,56,False,16.8,15.373841419762336,13.128571428571428
2.0,27.7,39.5,15,57,False,16.04,16.128949128818032,11.737499999999999
1.8,27.9,39.5,15,58,False,10.26,14.674740202129643,10.633333333333333
3.3,28.1,39.5,15,59,False,9.76,14.905468795042978,9.9
2.0,28.1,39.5,16,0,False,2.9,1.5198684153570539,9.181818181818182
2.3,28.1,39.5,16,1,False,2.28,0.5974947698515541,8.608333333333333
2.2,28.1,39.5,16,2,False,2.32,0.5805170109479666,8.115384615384615
2.0,28.1,39.5,16,3,False,2.36,0.541294744108939,7.678571428571429
3.0,28.2,39.5,16,4,False,2.3,0.41231056256171966,7.366666666666666
2.5,27.9,39.5,16,5,False,2.4,0.3807886552931452,7.0625
1.3,27.9,39.5,16,6,False,2.2,0.6284902544987963,6.723529411764706
3.8,27.4,39.5,16,7,False,2.52,0.9523654760647101,6.561111111111111
1.3,27.7,39.5,16,8,False,2.38,1.0894952959971702,6.284210526315789
14.4,33.8,39.5,16,9,False,4.66,5.541931071386577,6.6899999999999995
3.0,28.0,39.5,16,10,False,4.76,5.497544906592394,6.514285714285713
2.5,28.3,39.5,16,11,False,5.0,5.332447843157959,6.331818181818181
0.8,28.4,39.5,16,11,False,4.4,5.659946996218248,6.091304347826087
4.5,28.5,39.5,16,12,False,5.040000000000001,5.396572986627715,6.0249999999999995
20.0,30.5,39.5,16,13,False,6.16,7.848757863509357,6.584
26.2,31.4,39.5,16,14,False,10.8,11.514990230130461,7.338461538461538
1.0,28.4,39.5,16,15,False,10.5,11.801271117977079,7.103703703703703
0.8,29.0,39.5,16,16,False,10.5,11.801271117977079,6.878571428571428
1.7,20.2,39.5,16,17,False,9.940000000000001,12.21630058569287,6.699999999999999
1.7,19.3,39.5,16,25,False,6.279999999999999,11.143024724014568,4.5625
1.5,19.4,39.5,16,33,False,1.34,0.4159326868616137,5.294117647058823
0.3,19.9,39.5,16,34,False,1.2,0.6244997998397761,5.135294117647058
2.0,19.8,39.5,16,35,False,1.44,0.6618156843109128,5.105882352941177
0.8,20.0,39.5,16,36,False,1.26,0.6949820141557052,4.866666666666667
0.5,19.2,39.5,16,37,False,1.02,0.7120393247566593,4.882352941176471
2.0,19.1,39.5,16,38,False,1.1199999999999999,0.8228000972289198,4.923529411764706
4.3,19.1,39.5,16,39,False,1.92,1.495660389259515,4.329411764705882
1.8,19.2,39.5,16,40,False,1.8800000000000001,1.4956603892595148,4.258823529411764
2.8,19.4,39.5,16,41,False,2.28,1.3989281611290574,4.276470588235293
6.8,19.4,39.5,16,42,False,3.54,2.0707486568871496,4.6375
2.7,19.5,39.5,16,43,False,3.6799999999999997,1.9613770672667543,3.55625
9.5,19.6,39.5,16,44,False,4.720000000000001,3.2965133095438794,2.5125
4.5,24.4,39.5,16,45,False,5.26,2.895341085260931,2.73125
14.6,26.8,39.5,16,46,False,7.62,4.660150212171273,3.59375
4.3,27.0,39.5,16,47,False,7.12,4.8981629209327,3.75625
13.2,28.0,39.5,16,48,False,9.219999999999999,4.778807382600807,4.311764705882353
10.5,30.2,39.5,16,49,False,9.419999999999998,4.81424968193383,4.655555555555555
6.1,29.6,39.5,16,50,False,9.739999999999998,4.444434722211586,4.731578947368421
32.1,30.0,39.5,16,51,False,13.239999999999998,11.114315093607884,6.1
23.7,29.9,39.5,16,52,False,17.119999999999997,10.58687867126095,6.938095238095237
3.5,28.9,39.5,16,53,False,15.179999999999998,12.243855601892731,6.781818181818181
4.3,46.2,39.5,16,54,False,13.939999999999998,13.11899386386014,6.673913043478261
3.0,43.7,39.5,16,56,False,13.319999999999999,13.644852509279827,6.730434782608696
3.3,43.5,39.5,16,57,False,7.56,9.035374923045525,6.587500000000001
5.5,43.7,39.5,16,58,False,3.9200000000000004,1.0059821071966963,6.5440000000000005
11.5,43.7,39.5,16,59,False,5.5200000000000005,3.4831020656879863,6.734615384615386
11.7,43.7,39.5,17,0,False,7.0,4.309292285283041,6.9185185185185185
3.3,43.9,39.5,17,1,False,7.06,4.2412262377760435,6.7892857142857155
3.3,45.2,39.5,17,2,False,7.06,4.2412262377760435,6.6689655172413795
1.3,45.1,39.5,17,3,False,6.220000000000001,4.9791565550803805,6.49
6.5,45.6,39.5,17,4,False,5.220000000000001,4.073327877792298,6.875862068965517
2.3,44.0,39.5,17,5,False,3.34,1.951409746824047,6.886206896551724
2.3,44.0,39.5,17,6,False,3.1399999999999997,2.0069877926883084,6.937931034482758
3.5,44.4,39.5,17,7,False,3.1799999999999997,2.0129580224137533,7.041379310344827
11.0,50.8,39.5,17,8,False,5.119999999999999,3.7083689136869746,7.3517241379310345
15.5,44.8,39.5,17,9,False,6.919999999999999,6.013484846576063,7.623333333333333
3.3,50.8,39.5,17,10,False,7.12,5.8354091544638,7.789655172413792
23.6,46.0,39.5,17,11,False,11.379999999999999,8.570705921917982,8.506896551724138
7.8,46.5,39.5,17,12,False,12.239999999999998,7.759703602586891,8.541379310344826
15.0,46.3,39.5,17,13,False,13.040000000000001,7.805959261999769,8.96551724137931
15.3,44.6,39.5,17,14,False,13.0,7.790699583477724,9.16551724137931
1.8,50.2,39.5,17,24,False,12.7,8.271638289964086,7.540000000000001
2.3,48.8,39.5,17,25,False,8.440000000000001,6.56300236172439,7.29047619047619
5.7,48.6,39.5,17,26,False,8.02,6.680344302504169,7.419047619047619
8.8,48.5,39.5,17,27,False,6.780000000000001,5.5386821537257305,7.68095238095238
3.8,48.5,39.5,17,28,False,4.48,2.8525427253592315,7.504545454545454
4.3,48.5,39.5,17,29,False,4.9799999999999995,2.457030728338552,7.257142857142856
32.8,53.3,39.5,17,30,False,11.08,12.297032162273949,8.261904761904763
33.3,50.8,39.5,17,31,False,16.6,15.143480445392992,9.69047619047619
7.0,48.9,39.5,17,32,False,16.24,15.394576967231023,9.866666666666665
21.6,49.0,39.5,17,33,False,19.8,13.771165528015413,10.833333333333334
19.2,55.4,39.5,17,34,False,22.779999999999998,10.889077095879156,11.438095238095238
2.8,49.2,39.5,17,35,False,16.779999999999998,12.176699060090137,11.461904761904762
4.3,49.5,39.5,17,36,False,10.98,8.77108887197023,11.557142857142857
3.0,49.9,39.5,17,37,False,10.18,9.38573385516551,11.168181818181818
5.8,49.3,39.5,17,38,False,7.0200000000000005,6.913899044678046,11.285714285714286
29.8,52.7,39.5,17,39,False,9.14,11.611545978034107,11.966666666666667
4.8,49.5,39.5,17,40,False,9.540000000000001,11.37048811617162,12.038095238095238
4.0,49.4,39.5,17,41,False,9.48,11.405788004342359,11.104761904761904
26.7,49.5,39.5,17,42,False,14.219999999999999,12.870198133673002,12.004761904761907
5.8,49.4,39.5,17,43,False,14.219999999999999,12.870198133673002,11.566666666666666
17.0,50.7,39.5,17,44,False,11.66,9.934686708698973,11.647619047619047
11.3,49.4,39.5,17,45,False,12.959999999999999,9.211568813182694,11.631818181818183
20.9,49.9,39.5,17,46,False,16.34,8.140208842529779,12.034782608695652
11.7,50.6,39.5,17,47,False,13.339999999999998,5.793358266152716,12.020833333333334
10.2,50.8,39.5,17,48,False,14.219999999999999,4.565851508754967,11.948
21.2,50.6,39.5,17,49,False,15.059999999999999,5.49663533445689,12.303846153846154
25.2,52.4,39.5,17,50,False,17.84,6.536283347591352,12.781481481481482
2.8,53.0,39.5,17,51,False,14.219999999999999,8.975076601344414,12.424999999999999
13.5,52.6,39.5,17,52,False,14.580000000000002,8.884368294932397,12.46206896551724
26.3,55.9,39.5,17,53,False,17.8,9.773177579477414,12.923333333333334
13.8,49.7,39.5,17,54,False,16.32,9.689530432379064,13.323333333333332
2.7,48.8,39.5,17,55,False,11.820000000000002,9.758944615069806,12.980645161290322
6.3,51.3,39.5,17,56,False,12.52,9.049972375648446,13.356666666666666
2.5,49.7,39.5,17,57,False,10.32,10.035536856591179,13.146666666666667
3.3,49.1,39.5,17,58,False,5.720000000000001,4.768857305476848,13.13
7.5,48.2,39.5,17,59,False,4.46,2.286482013924424,13.236666666666668
32.8,50.6,39.5,18,0,False,10.48,12.646817781560701,13.236666666666668
3.3,49.4,39.5,18,1,False,9.879999999999999,12.961944298599649,12.236666666666666
2.8,49.6,39.5,18,2,False,9.94,12.919868420382613,12.096666666666666
1.8,49.2,39.5,18,3,False,9.639999999999999,13.12832814946366,11.436666666666667
3.0,49.2,39.5,18,4,False,8.739999999999998,13.461723515211563,10.896666666666667
3.5,49.4,39.5,18,5,False,2.88,0.6610597552414814,10.92
9.5,43.0,39.5,18,6,False,4.119999999999999,3.070342000494399,11.093333333333334
8.2,38.3,39.5,18,7,False,5.199999999999999,3.4197953155123133,11.266666666666667
34.3,38.2,39.5,18,8,False,11.7,12.949710421472753,12.216666666666667
18.8,48.3,39.5,18,9,False,14.86,12.20217193781501,11.85
12.1,47.2,39.5,18,10,False,16.580000000000002,10.716202685653167,12.093333333333332
22.2,48.2,39.5,18,11,False,19.119999999999997,10.106285173098977,12.699999999999998
43.4,47.0,39.5,18,12,False,26.160000000000004,12.559976114626984,13.256666666666666
2.3,19.2,39.5,18,13,False,19.759999999999998,15.241817476928405,13.139999999999999
1.3,19.0,39.5,18,14,False,16.259999999999998,17.37708260899971,12.75806451612903
1.8,19.1,39.5,18,15,False,14.2,18.563539533181707,12.3
38.6,28.0,39.5,18,16,False,17.48,21.540589592673644,12.889999999999999
2.3,19.3,39.5,18,17,False,9.26,16.40679737182123,12.576666666666666
1.5,15.3,39.5,19,30,False,9.1,16.495302361581615,1.5
26.7,17.0,39.5,19,31,False,14.180000000000001,17.38007479845815,14.1
33.3,35.1,39.5,19,32,False,20.48,17.479473676286712,20.5
8.9,35.2,39.5,19,33,False,14.540000000000001,14.589996572994801,17.6
12.9,32.5,39.5,19,34,False,16.66,13.05633945637138,16.66
10.4,32.6,39.5,19,35,False,18.44,10.901742979909226,15.616666666666667
17.0,41.5,39.5,19,36,False,16.5,9.879524280045072,15.814285714285715
2.3,41.3,39.5,19,37,False,10.3,5.422637734534741,14.125
33.5,42.6,39.5,19,38,False,15.219999999999999,11.541966903435483,16.27777777777778
11.0,41.8,39.5,19,39,False,14.839999999999998,11.668033253295095,15.75
13.6,42.1,39.5,19,40,False,15.479999999999999,11.449323124097779,15.554545454545455
16.0,41.0,39.5,19,41,False,15.280000000000001,11.42484135557252,15.591666666666667
9.4,41.4,39.5,19,42,False,16.7,9.722653958667877,15.115384615384615
19.0,42.0,39.5,19,43,False,13.8,3.8444765573482353,15.392857142857142
9.7,41.6,39.5,19,44,False,13.540000000000001,4.1155801535142205,15.013333333333332
2.8,41.4,39.5,19,45,False,11.379999999999999,6.319968354351162,14.25
37.2,43.7,39.5,19,46,False,15.62,13.37168650544875,15.6
10.0,42.8,39.5,19,47,False,15.739999999999998,13.304435350664086,15.288888888888888
10.3,42.7,39.5,19,48,False,14.0,13.340352319185584,15.026315789473685
7.9,43.2,39.5,19,49,False,13.64,13.50862687322439,14.669999999999998
13.1,43.8,39.5,19,50,False,15.7,12.160386507015316,14.595238095238095
5.8,44.8,40.6,19,51,False,9.42,2.741714791877541,14.195454545454545
9.3,27.4,40.8,19,52,False,9.280000000000001,2.7224988521577203,13.982608695652175
23.4,28.1,40.8,19,53,False,11.9,6.958088818059174,14.375
12.7,27.9,40.8,19,54,False,12.86,6.589613038714803,14.308
1.8,28.1,40.8,19,55,False,10.6,8.222225975975125,13.826923076923077
98.3,34.5,41.7,19,56,False,29.1,39.45700191347539,16.955555555555556
29.6,31.0,42.2,19,57,False,33.16,37.924965392205706,17.407142857142855
32.2,31.6,43.4,19,58,False,34.92,37.56124332340451,17.917241379310347
28.4,30.1,43.7,19,59,False,38.059999999999995,35.85691007323415,18.266666666666666
27.6,30.6,43.7,20,0,False,43.22,30.83977950634538,18.567741935483873
2.3,29.6,44.0,20,1,False,24.02,12.265887656423407,18.32333333333333
25.9,30.4,44.1,20,2,False,23.279999999999998,11.952698440101301,18.56774193548387
43.1,31.2,44.1,20,3,False,25.46,14.67116218981987,19.216666666666665
22.4,30.7,42.8,20,4,False,24.259999999999998,14.615847563518173,19.533333333333335
6.8,29.1,42.8,20,5,False,20.1,16.291562233254364,19.413333333333334
9.9,29.7,42.8,20,6,False,21.619999999999997,14.46813740603814,19.176666666666666
5.2,29.0,42.8,20,7,False,17.479999999999997,15.834361370134253,19.273333333333333
1.5,30.1,42.8,20,8,False,9.159999999999997,7.9964367064336574,18.206666666666667
3.0,16.6,42.0,20,10,False,5.279999999999997,3.284356862461727,17.94
2.8,22.3,42.1,20,11,False,4.479999999999997,3.3086250920887688,17.63448275862069
8.4,23.8,42.1,20,12,False,4.179999999999997,2.7077666073720983,17.599999999999998
3.8,23.5,42.1,20,13,False,3.8999999999999972,2.6476404589746307,17.075862068965517
3.0,23.9,42.1,20,14,False,4.1999999999999975,2.3790754506739384,16.844827586206897
2.3,23.6,42.1,20,15,False,4.059999999999997,2.4855582873872413,16.82758620689655
1.3,23.5,42.1,20,16,False,3.759999999999997,2.7519084287089544,15.589655172413794
1.5,23.6,42.1,20,17,False,2.3799999999999972,1.0425929215179506,15.296551724137931
0.8,23.5,42.1,20,18,False,1.7799999999999971,0.870057469365854,14.813333333333334
46.9,26.3,42.1,20,19,False,10.559999999999997,20.32186015107868,16.313793103448276
23.3,24.3,42.1,20,20,False,14.759999999999996,20.357995972099015,16.665517241379312
7.6,27.6,42.1,20,21,False,16.02,19.49325524380163,16.72758620689655
10.4,27.5,42.1,20,22,False,17.799999999999997,18.199313173853565,16.76551724137931
13.6,27.6,42.1,20,23,False,20.359999999999996,15.974448347282605,16.42758620689655
16.2,28.6,42.1,20,24,False,14.219999999999999,6.024284189843615,16.548275862068966
5.6,29.7,42.1,20,25,False,10.679999999999998,4.311844153027751,16.679310344827584
65.1,29.7,42.1,20,26,False,22.179999999999996,24.316496458166004,15.53448275862069
7.6,28.0,42.1,20,27,False,21.619999999999994,24.68505620815962,14.775862068965518
1.5,27.7,42.1,20,28,False,19.199999999999996,26.213641486828948,13.717241379310343
6.8,27.6,42.1,20,29,False,17.319999999999997,26.812814100724296,12.972413793103447
1.5,28.2,42.1,20,30,False,16.499999999999996,27.318766443600627,12.072413793103447
13.1,25.5,42.1,20,31,False,6.099999999999997,4.849226742481678,12.444827586206898
